
--------------------------------------------------------------------------------
    MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------


--------------------------------------------------------------------------------
    MAR SECURITY - TESTING APPLICATION: mugtracker2D_orig
--------------------------------------------------------------------------------

Application output directory created at: output/mugtracker2D_orig
Output will be written to file: sanityCheck2D.2019-11-11.192954.csv

Running test script with params: 
	 Application package name: 		 edu.temple.attack_prototypes.vuforia.v0_2d
	 Application local name: 		 mugtracker2D_orig
	 Run time (min): 			 10
	 Data collection interval (seconds): 	 5
	 Total number of trials: 		 120
	 Reading from image directory: 		 /Users/slehr/Projects/MAR_Security/scripts/imgs
	 Reading from image file list: 		 sanityCheck2D

  bash arg: -p
  bash arg: edu.temple.attack_prototypes.vuforia.v0_2d
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=36ms (0ms mobile, 0ms wifi, 36ms not connected)

--------------------------------------------------------------------------------

App PID: 9014
Trial start time (ms): 1573518594802

TRIAL,ELAPSED_TIME_MS,IMG_FILE,CPU_PERC,MEM_PERC,EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB,TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB,FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
40,2698,coca_cola.jpg,61.2,6.0,54725904,50591716,4134188,8,DNE,3667952,187856,1364804,1077952832,10383,1687,0,0,10,79,5858,55105
41,2724,coca_cola.jpg,58.0,5.9,54725904,50591716,4134188,8,DNE,3667952,190672,1367620,1077952832,10537,1722,0,0,10,79,5858,55029
42,2722,coca_cola.jpg,61.2,5.9,54725904,50591716,4134188,8,DNE,3667952,190768,1367716,1077952832,10688,1757,0,0,10,79,5858,54837
43,2702,coca_cola.jpg,61.2,5.9,54725904,50591716,4134188,8,DNE,3667952,191388,1368088,1077952832,10849,1780,0,0,10,79,5858,55163
44,2710,coca_cola.jpg,70.9,6.0,54725904,50592836,4133068,8,DNE,3667952,188576,1366480,1077952832,10996,1803,0,0,10,79,5858,55226
45,2719,coca_cola.jpg,64.5,6.0,54725904,50592824,4133080,8,DNE,3667952,188192,1366116,1077952832,11158,1828,0,0,10,79,5858,55241
46,2723,coca_cola.jpg,70.0,5.8,54725904,50592824,4133080,8,DNE,3667952,191412,1369336,1077952832,11325,1864,0,0,10,79,5858,54045
47,2692,coca_cola.jpg,61.2,5.9,54725904,50592824,4133080,8,DNE,3667952,185244,1363176,1077952832,11515,1887,0,0,10,79,5858,53215
48,2697,coca_cola.jpg,66.6,6.0,54725904,50592824,4133080,8,DNE,3667952,189516,1367448,1077952832,11674,1909,0,0,10,79,5858,55251
49,2699,coca_cola.jpg,60.0,6.0,54725904,50592824,4133080,8,DNE,3667952,188740,1366672,1077952832,11836,1936,0,0,10,79,5858,55273
