RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA,LABEL
93,115,206,121,109,181,146.4,148.57,5.8,5.2,5.5,4.5,5.4,5.28,5.37,1
96,143,187,115,109,106,132,136.14,5.9,3.5,5.6,5.7,5.4,5.22,5.26,1
99,200,128,197,157,181,172.6,163.49,5.5,5.4,7,5.5,4.6,5.6,5.51,1
102,106,112,118,193,109,127.6,136.57,4.7,5.2,5.9,5,5.1,5.18,5.26,1
105,215,106,152,122,218,162.6,156.09,4,4.7,6.1,5.8,6.1,5.34,5.32,1
108,244,206,108,188,112,171.6,167.72,7.1,4.5,4.8,5.8,5.3,5.5,5.46,1
111,160,115,118,109,112,122.8,134.03,6.1,4.8,5.4,6.8,6.1,5.84,5.74,1
114,173,109,167,112,224,157,151.26,5.8,6.1,4.1,4.7,5.7,5.28,5.4,1
117,132,109,112,112,108,114.6,123.76,5.8,5.6,6.3,5.2,5.1,5.6,5.55,1
120,115,205,372,215,118,205,184.69,5.6,4.9,5.9,7.1,5,5.7,5.66,1
123,178,225,302,275,120,220,211.17,4.9,3,3.2,4,4.8,3.98,4.4,2
126,258,125,251,125,115,174.8,183.89,4.6,3,4,3.2,4.3,3.82,3.97,2
129,351,175,138,372,205,248.2,232.12,2.9,3.9,4.1,3.8,4.6,3.86,3.89,2
132,360,332,112,351,350,301,283.78,2.4,3.1,4.9,3.1,4.4,3.58,3.66,2
135,351,373,108,275,357,292.8,290.55,3,2.1,4.5,3.2,3.9,3.34,3.42,2
138,245,290,161,120,236,210.4,230.44,4.8,2.1,4.8,3.4,4.2,3.86,3.75,2
141,117,124,193,112,124,134,158.11,4.8,3.8,4.6,4.2,4.7,4.42,4.25,2
144,115,115,327,109,106,154.4,155.33,4.6,4.2,5.2,3.3,2.6,3.98,4.05,2
147,120,178,379,131,160,193.6,184.03,5.4,4,4.4,2.1,4,3.98,4,2
150,112,357,284,225,275,250.6,233.96,5.5,4.1,3.6,3.4,4,4.12,4.09,2
153,115,318,257,321,335,269.2,260.39,5,2.6,4.1,2.2,2.4,3.26,3.47,2
156,112,285,127,302,333,231.8,238.95,4.1,4.7,4.2,3.7,2.3,3.8,3.72,2
159,145,193,121,227,315,200.2,209.89,4.3,3.4,3.5,2.8,3.1,3.42,3.49,2
162,227,116,112,117,342,182.8,189.57,5.2,2.6,3.5,4.3,2.5,3.62,3.59,2
165,339,112,184,121,248,200.8,197.99,3.7,2.6,3.8,4.1,4.4,3.72,3.69,2
168,387,112,362,175,132,233.6,224.7,3.8,2.5,2.9,3,4,3.24,3.35,2
171,232,153,311,231,133,212,215.17,2.6,3.6,4,4,3.5,3.54,3.49,2
174,260,333,228,330,133,256.8,246.39,3.5,3.8,3.3,3.4,3.9,3.58,3.56,2
177,124,375,125,315,157,219.2,226,3.3,3.1,3,3.9,2.4,3.14,3.24,2
180,,,,,,,,,,,,,,,2
