RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),AVG_FPS
67,20201230_064732,59,1001,16.96610169,5.89E+01
68,20201230_064733,59,1000,16.94915254,5.90E+01
69,20201230_064734,59,1001,16.96610169,5.89E+01
70,20201230_064735,60,1001,16.68333333,5.99E+01
71,20201230_064736,59,1001,16.96610169,5.89E+01
72,20201230_064737,60,1000,16.66666667,6.00E+01
73,20201230_064738,58,1008,17.37931034,5.75E+01
74,20201230_064739,61,1011,16.57377049,6.03E+01
75,20201230_064740,59,1001,16.96610169,5.89E+01
76,20201230_064741,59,1000,16.94915254,5.90E+01
77,20201230_064742,59,1001,16.96610169,5.89E+01
78,20201230_064743,58,1001,17.25862069,5.79E+01
79,20201230_064744,59,1001,16.96610169,5.89E+01
80,20201230_064745,59,1002,16.98305085,5.89E+01
81,20201230_064746,59,1000,16.94915254,5.90E+01
82,20201230_064747,60,1001,16.68333333,5.99E+01
83,20201230_064748,59,1000,16.94915254,5.90E+01
84,20201230_064749,58,1001,17.25862069,5.79E+01
85,20201230_064750,59,1001,16.96610169,5.89E+01
86,20201230_064751,60,1001,16.68333333,5.99E+01
87,20201230_064752,59,1000,16.94915254,5.90E+01
88,20201230_064753,59,1001,16.96610169,5.89E+01
89,20201230_064754,59,1001,16.96610169,5.89E+01
90,20201230_064755,59,1000,16.94915254,5.90E+01
91,20201230_064756,59,1001,16.96610169,5.89E+01
92,20201230_064757,59,1001,16.96610169,5.89E+01
93,20201230_064758,59,1001,16.96610169,5.89E+01
94,20201230_064759,60,1001,16.68333333,5.99E+01
95,20201230_064800,57,1000,17.54385965,5.70E+01
96,20201230_064801,59,1002,16.98305085,5.89E+01
97,20201230_064802,60,1016,16.93333333,5.91E+01
98,20201230_064803,58,1002,17.27586207,5.79E+01
99,20201230_064804,59,1000,16.94915254,5.90E+01
100,20201230_064805,59,1001,16.96610169,5.89E+01
101,20201230_064806,59,1000,16.94915254,5.90E+01
102,20201230_064807,59,1001,16.96610169,5.89E+01
103,20201230_064808,59,1001,16.96610169,5.89E+01
104,20201230_064809,58,1000,17.24137931,5.80E+01
105,20201230_064810,59,1001,16.96610169,5.89E+01
106,20201230_064811,59,1001,16.96610169,5.89E+01
107,20201230_064812,59,1001,16.96610169,5.89E+01
108,20201230_064813,59,1001,16.96610169,5.89E+01
109,20201230_064814,59,1000,16.94915254,5.90E+01
110,20201230_064815,59,1001,16.96610169,5.89E+01
111,20201230_064816,59,1000,16.94915254,5.90E+01
112,20201230_064817,59,1001,16.96610169,5.89E+01
113,20201230_064818,59,1001,16.96610169,5.89E+01
114,20201230_064819,58,1001,17.25862069,5.79E+01
115,20201230_064820,60,1001,16.68333333,5.99E+01
116,20201230_064821,59,1000,16.94915254,5.90E+01
117,20201230_064822,59,1001,16.96610169,5.89E+01
118,20201230_064823,58,1001,17.25862069,5.79E+01
119,20201230_064824,59,1020,17.28813559,5.78E+01
120,20201230_064825,60,1014,16.9,5.92E+01
121,20201230_064826,59,1001,16.96610169,5.89E+01
122,20201230_064827,57,1001,17.56140351,5.69E+01
123,20201230_064828,59,1001,16.96610169,5.89E+01
124,20201230_064829,59,1001,16.96610169,5.89E+01
125,20201230_064830,56,1000,17.85714286,5.60E+01
126,20201230_064831,59,1001,16.96610169,5.89E+01
127,20201230_064832,59,1001,16.96610169,5.89E+01
128,20201230_064833,59,1001,16.96610169,5.89E+01
129,20201230_064834,59,1001,16.96610169,5.89E+01
130,20201230_064835,57,1000,17.54385965,5.70E+01
131,20201230_064836,59,1002,16.98305085,5.89E+01
132,20201230_064837,59,1000,16.94915254,5.90E+01
133,20201230_064838,58,1000,17.24137931,5.80E+01
134,20201230_064839,59,1001,16.96610169,5.89E+01
135,20201230_064840,59,1000,16.94915254,5.90E+01
136,20201230_064841,58,1001,17.25862069,5.79E+01
137,20201230_064842,59,1002,16.98305085,5.89E+01
138,20201230_064843,58,1000,17.24137931,5.80E+01
139,20201230_064844,59,1001,16.96610169,5.89E+01
140,20201230_064845,59,1001,16.96610169,5.89E+01
141,20201230_064846,58,1001,17.25862069,5.79E+01
142,20201230_064847,59,1001,16.96610169,5.89E+01
143,20201230_064848,59,1025,17.37288136,5.76E+01
144,20201230_064849,60,1009,16.81666667,5.95E+01
145,20201230_064850,60,1000,16.66666667,6.00E+01
146,20201230_064851,59,1002,16.98305085,5.89E+01
147,20201230_064852,60,1000,16.66666667,6.00E+01
148,20201230_064853,59,1001,16.96610169,5.89E+01
149,20201230_064854,58,1001,17.25862069,5.79E+01
150,20201230_064855,59,1001,16.96610169,5.89E+01
151,20201230_064856,58,1010,17.4137931,5.74E+01
152,20201230_064857,60,1008,16.8,5.95E+01
153,20201230_064858,59,1001,16.96610169,5.89E+01
154,20201230_064859,59,1000,16.94915254,5.90E+01
155,20201230_064900,59,1001,16.96610169,5.89E+01
156,20201230_064901,59,1001,16.96610169,5.89E+01
157,20201230_064902,58,1001,17.25862069,5.79E+01
158,20201230_064903,58,1001,17.25862069,5.79E+01
159,20201230_064904,60,1000,16.66666667,6.00E+01
160,20201230_064905,58,1001,17.25862069,5.79E+01
161,20201230_064906,59,1001,16.96610169,5.89E+01
162,20201230_064907,59,1001,16.96610169,5.89E+01
163,20201230_064908,58,1000,17.24137931,5.80E+01
164,20201230_064909,59,1000,16.94915254,5.90E+01
165,20201230_064910,58,1002,17.27586207,5.79E+01
166,20201230_064911,59,1000,16.94915254,5.90E+01
167,20201230_064912,59,1001,16.96610169,5.89E+01
168,20201230_064913,58,1001,17.25862069,5.79E+01
169,20201230_064914,59,1000,16.94915254,5.90E+01
170,20201230_064915,58,1001,17.25862069,5.79E+01
171,20201230_064916,60,1001,16.68333333,5.99E+01
172,20201230_064917,59,1001,16.96610169,5.89E+01
173,20201230_064918,58,1000,17.24137931,5.80E+01
174,20201230_064919,59,1001,16.96610169,5.89E+01
175,20201230_064920,60,1001,16.68333333,5.99E+01
176,20201230_064921,59,1000,16.94915254,5.90E+01
177,20201230_064922,59,1001,16.96610169,5.89E+01
178,20201230_064923,59,1027,17.40677966,5.74E+01
179,20201230_064924,60,1007,16.78333333,5.96E+01
