RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS,AVG_FPS
111.176,20201230_090140,57,1001,17.56140351,5.69E-05,5.69E+01
112.176,20201230_090141,60,1000,16.66666667,6.00E-05,6.00E+01
113.177,20201230_090142,60,1001,16.68333333,5.99E-05,5.99E+01
114.178,20201230_090143,59,1001,16.96610169,5.89E-05,5.89E+01
115.196,20201230_090144,60,1018,16.96666667,5.89E-05,5.89E+01
116.196,20201230_090145,59,1000,16.94915254,5.90E-05,5.90E+01
117.197,20201230_090146,59,1001,16.96610169,5.89E-05,5.89E+01
118.197,20201230_090147,59,1000,16.94915254,5.90E-05,5.90E+01
119.198,20201230_090148,60,1001,16.68333333,5.99E-05,5.99E+01
120.199,20201230_090149,60,1001,16.68333333,5.99E-05,5.99E+01
121.199,20201230_090150,60,1000,16.66666667,6.00E-05,6.00E+01
122.2,20201230_090151,59,1001,16.96610169,5.89E-05,5.89E+01
123.201,20201230_090152,59,1001,16.96610169,5.89E-05,5.89E+01
124.201,20201230_090153,60,1000,16.66666667,6.00E-05,6.00E+01
125.202,20201230_090154,60,1001,16.68333333,5.99E-05,5.99E+01
126.202,20201230_090155,60,1000,16.66666667,6.00E-05,6.00E+01
127.204,20201230_090156,59,1002,16.98305085,5.89E-05,5.89E+01
128.204,20201230_090157,59,1000,16.94915254,5.90E-05,5.90E+01
129.205,20201230_090158,58,1001,17.25862069,5.79E-05,5.79E+01
130.207,20201230_090159,59,1002,16.98305085,5.89E-05,5.89E+01
131.207,20201230_090200,60,1000,16.66666667,6.00E-05,6.00E+01
132.207,20201230_090201,59,1000,16.94915254,5.90E-05,5.90E+01
133.208,20201230_090202,60,1001,16.68333333,5.99E-05,5.99E+01
134.209,20201230_090203,58,1001,17.25862069,5.79E-05,5.79E+01
135.209,20201230_090204,60,1000,16.66666667,6.00E-05,6.00E+01
136.21,20201230_090205,58,1001,17.25862069,5.79E-05,5.79E+01
137.211,20201230_090206,59,1001,16.96610169,5.89E-05,5.89E+01
138.212,20201230_090207,60,1001,16.68333333,5.99E-05,5.99E+01
139.212,20201230_090208,60,1000,16.66666667,6.00E-05,6.00E+01
140.213,20201230_090209,59,1001,16.96610169,5.89E-05,5.89E+01
141.214,20201230_090210,60,1001,16.68333333,5.99E-05,5.99E+01
142.214,20201230_090211,59,1000,16.94915254,5.90E-05,5.90E+01
143.214,20201230_090212,58,1000,17.24137931,5.80E-05,5.80E+01
144.215,20201230_090213,60,1001,16.68333333,5.99E-05,5.99E+01
145.234,20201230_090214,60,1019,16.98333333,5.89E-05,5.89E+01
146.25,20201230_090215,59,1016,17.22033898,5.81E-05,5.81E+01
147.251,20201230_090216,59,1001,16.96610169,5.89E-05,5.89E+01
148.251,20201230_090217,58,1000,17.24137931,5.80E-05,5.80E+01
149.252,20201230_090218,60,1001,16.68333333,5.99E-05,5.99E+01
150.253,20201230_090219,59,1001,16.96610169,5.89E-05,5.89E+01
151.253,20201230_090220,60,1000,16.66666667,6.00E-05,6.00E+01
152.254,20201230_090221,60,1001,16.68333333,5.99E-05,5.99E+01
153.254,20201230_090222,57,1000,17.54385965,5.70E-05,5.70E+01
154.255,20201230_090223,59,1001,16.96610169,5.89E-05,5.89E+01
155.256,20201230_090224,59,1001,16.96610169,5.89E-05,5.89E+01
156.257,20201230_090225,58,1001,17.25862069,5.79E-05,5.79E+01
157.257,20201230_090226,59,1000,16.94915254,5.90E-05,5.90E+01
158.258,20201230_090227,59,1001,16.96610169,5.89E-05,5.89E+01
159.258,20201230_090228,60,1000,16.66666667,6.00E-05,6.00E+01
160.259,20201230_090229,59,1001,16.96610169,5.89E-05,5.89E+01
161.261,20201230_090230,59,1002,16.98305085,5.89E-05,5.89E+01
162.261,20201230_090231,59,1000,16.94915254,5.90E-05,5.90E+01
163.261,20201230_090232,60,1000,16.66666667,6.00E-05,6.00E+01
164.262,20201230_090233,60,1001,16.68333333,5.99E-05,5.99E+01
165.262,20201230_090234,60,1000,16.66666667,6.00E-05,6.00E+01
166.286,20201230_090235,60,1024,17.06666667,5.86E-05,5.86E+01
167.297,20201230_090236,60,1011,16.85,5.93E-05,5.93E+01
168.297,20201230_090237,58,1000,17.24137931,5.80E-05,5.80E+01
169.297,20201230_090238,59,1000,16.94915254,5.90E-05,5.90E+01
170.299,20201230_090239,59,1002,16.98305085,5.89E-05,5.89E+01
171.299,20201230_090240,60,1000,16.66666667,6.00E-05,6.00E+01
172.3,20201230_090241,60,1001,16.68333333,5.99E-05,5.99E+01
173.312,20201230_090242,59,1012,17.15254237,5.83E-05,5.83E+01
174.318,20201230_090243,60,1006,16.76666667,5.96E-05,5.96E+01
175.319,20201230_090244,59,1001,16.96610169,5.89E-05,5.89E+01
176.32,20201230_090245,59,1001,16.96610169,5.89E-05,5.89E+01
177.321,20201230_090246,59,1001,16.96610169,5.89E-05,5.89E+01
178.321,20201230_090247,58,1000,17.24137931,5.80E-05,5.80E+01
